hour,open,high,low,close,impact_p90,tier,base_250,base_500,base_1500,quote_250,quote_500,quote_1500
2026-09-02 14:15:00,0.06000518657327244,0.06225693555841649,0.06000518657327244,0.06225693555841649,0.02869033899512228,Moderate,-9525.959703806233,-18709.64852587886,-52398.96835844001,9765.625393025071,14613.077207553803,17841.497334892338
2026-09-02 14:30:00,0.06227289344267373,0.08233422073004551,0.06227289344267373,0.08017316433004079,0.11262572914749794,Very Thin,-241624.2654091347,-265811.2879804519,-361469.712961384,25863.69296098754,28297.93026887456,38370.971448276425
2026-09-02 14:45:00,0.08017689548540216,0.08027147121133037,0.0743266501025482,0.07923430789693607,0.10960781929718615,Very Thin,-128697.00248857566,-240447.52771348588,-314393.184363433,7373.959536108402,9778.177584567235,19726.997006535945
2026-09-02 15:00:00,0.07929395660297274,0.08392185925565901,0.07523429435141134,0.0801669535804771,0.10721065780772147,Very Thin,-48612.50012805788,-79912.05997728372,-182976.33971645575,2387.515875210055,4805.842230195519,14813.042793622311
2026-09-02 15:15:00,0.0801105772135583,0.0801195642689909,0.06331743692395503,0.0642622450478736,0.12101434479293176,Very Thin,-2085.1399251106304,-4095.3600833005285,-11469.624516166692,2137.6004133772008,4302.786190683571,13262.473656320923
2026-09-02 15:30:00,0.06441282715171014,0.0737201757986977,0.06436408551290325,0.06644078387558112,0.11842006258823053,Very Thin,-2120.189263247406,-4164.199425266445,-15143.07608794171,2173.531565424855,4375.112180086652,13485.403982536738
2026-09-02 15:45:00,0.06659465010275069,0.06861996847730494,0.06176640625100596,0.0661959269101563,0.10129860346901239,Very Thin,-15625.127448652795,-18052.918864055973,-28050.716777895366,2581.631624783044,5196.5787595439615,16017.409614884902
2026-09-02 16:00:00,0.06620139837029235,0.06994973132333188,0.057844283691473715,0.06111207648746661,0.10421524754859342,Very Thin,-2419.6404609636907,-4752.342440157247,-13309.65030115372,2480.5167208650164,4993.044081346864,15390.054875859876
2026-09-02 16:15:00,0.061049858109176285,0.06188600769382882,0.055087889265563114,0.056302641789008054,0.1083664559454068,Very Thin,-2322.4785109250856,-4561.5096010696825,-12775.140961229896,2380.9102522219146,4792.545739796123,14772.0590343025
2026-09-02 16:30:00,0.05630237488118699,0.058795569702731844,0.05168021487951958,0.05273407733767165,0.10960758594298561,Very Thin,-2647.029014094774,-8253.600864547092,-17425.708188310113,3348.9854186533803,9703.791549836278,19361.868259254592
